"char1","char2","numUtterances","loc","epi"
Vader,Luke,4,Death Star,VI
Lando,Nien Nunb,1,Falcon,VI
Han,Chewie,1,Endor,VI
Chewie,Han,1,Endor,VI
Vader,Luke,9,Death Star,VI
Luke,Vader,2,Death Star,VI
Luke,Emperor,3,Death Star,VI
Emperor,Luke,4,Death Star,VI
Ackbar,Lando,1,ship,VI
Lando,Nien Nunb,1,Falcon,VI
Emperor,Luke,5,Death Star,VI
Luke,Vader,1,Death Star,VI
Nien Nunb,Lando,2,Falcon,VI
Lando,Nien Nunb,3,Falcon,VI
Wedge,Lando,1,Falcon,VI
Luke,Vader,4,Death Star,VI
Vader,Luke,7,Death Star,VI
Wedge,Lando,3,ship,VI
Lando,Wedge,1,ship,VI
Lando,Nien Nunb,1,Falcon,VI
Nien Nunb,Lando,1,Falcon,VI
C3PO,R2D2,1,Endor,VI
Han,Leia,3,Endor,VI
Leia,Han,3,Endor,VI
Wicket,Leia,1,Endor,VI
