"char1","char2","numUtterances","loc"
C3PO,R2D2,1,Death Star
R2D2,C3PO,1,Death Star
Obi-wan,Vader,2,Death Star
Vader,Obi-wan,4,Death Star
Obi-wan,Luke,1,Death Star
Luke,Obi-wan,1,Death Star
Luke,Han,1,Death Star
Han,Luke,3,Death Star
Han,Leia,1,Death Star
Leia,Han,1,Death Star
Han,Chewie,1,Death Star
Chewie,Han,2,Death Star
Leia,Luke,2,Death Star
C3PO,R2D2,1,Death Star
Leia,Luke,3,Falcon
Luke,Leia,1,Falcon
Han,Leia,1,Falcon
Luke,Han,3,Falcon
Han,Luke,3,Falcon
Leia,Han,3,Falcon
Han,Chewie,2,Falcon
C3PO,R2D2,1,Falcon
Tarkin,Vader,2,Death Star
Vader,Tarkin,1,Death Star
Han,Leia,3,Falcon
Leia,Han,4,Falcon
Luke,Leia,1,Falcon
Leia,Luke,1,Falcon
Luke,Han,3,Falcon
Han,Luke,3,Falcon
Vader,Tarkin,1,Death Star
Luke,Han,3,Yavin
Han,Luke,4,Yavin
Han,Chewie,1,Yavin
Chewie,Han,1,Yavin
Luke,Leia,2,Yavin
Leia,Luke,2,Yavin
C3PO,R2D2,2,Yavin
R2D2,C3PO,2,Yavin
R2D2,Luke,1,Yavin
Luke,R2D2,1,Yavin
Biggs,Luke,3,Yavin
Luke,Biggs,2,Yavin
Biggs,Luke,4,space
Luke,Biggs,1,space
Han,Luke,1,space
Luke,Wedge,5,space
Wedge,Luke,6,space
R2D2,Luke,3,space
Luke,R2D2,4,space
Obi-wan,Luke,5,space
Luke,Han,1,Yavin
Han,Luke,3,Yavin
Leia,Han,1,Yavin
Luke,Leia,1,Yavin
C3PO,Luke,1,Yavin
Luke,C3PO,1,Yavin
C3PO,R2D2,1,Yavin
R2D2,Luke,1,Yavin
Leia,Obi-wan,1,Tatooine
